DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
05/07/19,00:00:00,154.1100000,154.7800000,152.6000000,154.5900000,259918
08/07/19,00:00:00,153.3400000,153.6900000,152.0700000,152.7800000,230331
09/07/19,00:00:00,151.9000000,154.1700000,151.8700000,153.9000000,235424
10/07/19,00:00:00,154.5700000,156.3900000,154.5700000,156.2400000,355980
11/07/19,00:00:00,156.8200000,159.2900000,156.7200000,158.8900000,432420
12/07/19,00:00:00,159.2800000,159.5500000,157.4000000,158.0500000,247501
15/07/19,00:00:00,158.7600000,159.8000000,157.4800000,159.6400000,209802
16/07/19,00:00:00,159.8300000,161.5800000,156.8000000,157.0200000,430725
17/07/19,00:00:00,157.6800000,159.9000000,157.6800000,158.2700000,286720
18/07/19,00:00:00,157.0000000,158.5600000,156.5300000,157.8900000,220220
19/07/19,00:00:00,159.7500000,160.7200000,156.3100000,156.7500000,412591
22/07/19,00:00:00,157.4300000,159.0200000,157.1600000,157.7100000,217677
23/07/19,00:00:00,157.7900000,158.3800000,155.3000000,156.2800000,302703
24/07/19,00:00:00,156.2200000,160.2400000,155.9800000,159.7600000,294990
25/07/19,00:00:00,159.8800000,161.1100000,158.7100000,159.3300000,526052
26/07/19,00:00:00,159.4900000,160.8100000,158.7300000,159.9600000,366927
29/07/19,00:00:00,160.3100000,161.1700000,155.5200000,156.2100000,643763
30/07/19,00:00:00,155.3800000,158.2200000,154.6800000,156.9400000,302868
31/07/19,00:00:00,156.2200000,157.8700000,152.4500000,154.5000000,422007
01/08/19,00:00:00,154.7000000,157.7800000,150.4100000,150.5900000,974121
02/08/19,00:00:00,149.8000000,149.8000000,145.3200000,145.6800000,962949
05/08/19,00:00:00,140.5400000,143.7500000,139.8400000,142.8000000,690173
06/08/19,00:00:00,144.1200000,144.9400000,141.9900000,142.8300000,325509
07/08/19,00:00:00,140.9300000,143.1000000,139.0900000,141.6300000,456018
08/08/19,00:00:00,143.5600000,144.9600000,142.3200000,143.6900000,520266
09/08/19,00:00:00,143.8300000,144.4300000,141.7200000,143.4200000,298280
12/08/19,00:00:00,141.4800000,141.8900000,140.0500000,140.6800000,201001
13/08/19,00:00:00,140.8400000,145.0000000,140.4600000,143.8500000,287115
14/08/19,00:00:00,141.5200000,142.1300000,137.8900000,139.7100000,468305
15/08/19,00:00:00,140.9700000,143.3000000,139.7500000,142.1100000,364878
16/08/19,00:00:00,143.0600000,145.3300000,142.6200000,143.8800000,426760
19/08/19,00:00:00,145.7400000,146.0900000,142.9400000,143.6100000,322084
20/08/19,00:00:00,144.0000000,146.4900000,143.0600000,145.5900000,414612
21/08/19,00:00:00,146.9200000,148.3600000,146.1900000,147.3700000,435652
22/08/19,00:00:00,149.4900000,149.8200000,145.4800000,148.3300000,673863
23/08/19,00:00:00,157.7000000,158.4000000,150.6500000,151.6100000,1778085
26/08/19,00:00:00,153.9900000,155.2100000,151.5400000,155.1800000,673978
27/08/19,00:00:00,154.8700000,155.5600000,152.5700000,153.6200000,580123
28/08/19,00:00:00,152.6500000,152.6600000,150.8700000,151.8300000,415743
29/08/19,00:00:00,153.4000000,156.0000000,152.8400000,155.9300000,533833
30/08/19,00:00:00,156.4700000,158.1800000,153.7000000,156.0600000,738205
03/09/19,00:00:00,154.2100000,155.2700000,151.7800000,152.7700000,301752
04/09/19,00:00:00,154.0300000,154.8600000,152.3300000,152.5000000,189759
05/09/19,00:00:00,154.6400000,154.6400000,151.9500000,153.7900000,355768
06/09/19,00:00:00,153.9700000,153.9700000,150.8300000,151.1300000,294496
09/09/19,00:00:00,151.6500000,152.0000000,148.1400000,149.6000000,423575
10/09/19,00:00:00,148.5000000,151.6500000,147.7700000,149.4600000,346709
11/09/19,00:00:00,150.0000000,154.6300000,149.1700000,154.1200000,418028
12/09/19,00:00:00,155.0400000,156.8000000,154.4400000,154.8000000,471700
13/09/19,00:00:00,154.5000000,154.9000000,152.7600000,152.9600000,220565
16/09/19,00:00:00,151.6500000,153.9950000,151.5100000,153.0000000,174478
17/09/19,00:00:00,152.9300000,153.3100000,151.7400000,152.8200000,174975
18/09/19,00:00:00,152.2800000,152.9100000,150.6000000,152.7000000,203328
19/09/19,00:00:00,153.4300000,154.1300000,152.7800000,153.5900000,245498
20/09/19,00:00:00,154.6900000,156.8800000,153.6300000,155.1600000,571249
23/09/19,00:00:00,154.2600000,155.1900000,152.9700000,154.5900000,249489
24/09/19,00:00:00,154.5100000,156.2500000,151.0900000,152.1900000,244232
25/09/19,00:00:00,152.0700000,153.1900000,148.9100000,152.9900000,232284
26/09/19,00:00:00,152.3900000,153.4000000,151.9000000,152.4300000,222856
27/09/19,00:00:00,152.7100000,152.7100000,146.7800000,148.2800000,414593
30/09/19,00:00:00,148.3400000,148.8300000,147.6400000,148.4600000,198035
01/10/19,00:00:00,149.2400000,150.1400000,147.2700000,147.7800000,174957
02/10/19,00:00:00,145.8600000,146.2400000,143.2000000,144.2300000,259705
03/10/19,00:00:00,143.8300000,146.9400000,142.1500000,146.9400000,174706
04/10/19,00:00:00,148.2100000,148.9100000,146.2500000,148.0000000,215256
07/10/19,00:00:00,147.5300000,149.3000000,147.0400000,148.8000000,205029
